Timestamp,Consent Agreement: I confirm that I am at least 18 years old and consent to my anonymized data being collected for academic research and non-clinical algorithm development.,Gender,Current Academic Year,Current Living Arrangement,Average Daily Academic Screen Time (Hours),Average Daily Entertainment / Social Screen Time (Hours),"Over the past 2 weeks, how often have you felt nervous, anxious, or excessively stressed?",How frequently do racing thoughts or repetitive worry delay your sleep or relaxation?,How often do you experience difficulty concentrating or mental slowness during study sessions?,"How often over the past month have you felt a lack of energy, interest, or motivation in daily routines?",How frequently do you experience sudden irritability or mental exhaustion by the end of the day?,"On average, how many hours of uninterrupted sleep do you get per night?","Briefly describe the main factors (e.g., exams, habits, diet, screen time) that affect your emotional well-being most.",Average daily step count or walking duration (in Minutes),"Weekly physical exercise, sports, or gym activity frequency",Average consecutive hours spent sitting without taking an active break,Rate your overall physical energy level by evening,Average daily water intake (in Liters),Daily meal regularity,Which of these do you regularly eat or drink (3+ days a week)? (Select all that apply),How often do you experience digestive discomfort or bloating?
8/14/2026 19:04:34,Yes,Male,2nd year,Hostel,3-4 hours ,1-2 hours ,2,4,4,5,2,5,"The thought of achieving the goals, what I decided for my future.",8-10 thousand ,3-4 days,1-2 hours,3,2-3 litres,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses), Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:18:55,Yes,Male,2nd year,Hostel,6 hr,3 hr,1,5,1,3,4,7 hr,Screen time,30 minute,3-4 days,2 hr,3,1 liter,3 regular meals,"Fresh Fruits / Vegetables, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:20:19,Yes,Female,2nd year,Flat/PG,10,4,5,5,5,5,5,5,Fake Scenerios,10000,0 days,14,1,No idea,Irregular/Random eating times,"Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals",2
8/14/2026 19:21:30,Yes,Male,2nd year,Hostel,4,6,3,4,4,3,2,5,Exams,1 hours,0 days,30 min,2,2,Skip 1 meal daily,Home-cooked / Mess-cooked balanced meals,2
8/14/2026 19:21:58,Yes,Male,3rd year,Flat/PG,3-4hrs,2-3hrs,5,3,5,5,4,8-9hrs,Na,Average daily steps 15k,5+ days,Mainly 4-5hrs,4,3ltr,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/14/2026 19:27:49,Yes,Female,3rd year,Hostel,7 hours ,2 hours ,4,2,4,5,5,2,Diet,10000,5+ days,1,2,4,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/14/2026 19:31:29,Yes,Male,2nd year,Hostel,2.5hrs,4hrs,4,3,3,1,2,5hrs,Screen time and habits ,8k ,3-4 days,2hrs,4,2-3 litre ,3 regular meals,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:31:59,Yes,Male,2nd year,Hostel,1 hour.,6-8 hours.,2,2,4,4,4,6 hours average ,Everything 😂,1500 + steps ,3-4 days,2 hours,2,1-2 L.,Skip 1 meal daily,"High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals",2
8/14/2026 19:32:11,Yes,Female,3rd year,Hostel,2,4,5,5,5,5,5,5,Placements placements placements ,7000,3-4 days,1,2,2,Skip 1 meal daily,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:33:40,Yes,Male,3rd year,Hostel,2,6,4,4,4,4,3,6,Screen time,30,0 days,3,2,3,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals",3
8/14/2026 19:38:10,Yes,Male,2nd year,Living with Family,7 hours 2 mins ,4 hours 30 mins ,4,3,5,5,4,6 hours,"Doomscrolling, gaming, laziness, procrastination, physical weakness",5000 - 6000 steps ,0 days,10 hours,3,2-3 litre ,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:39:44,Yes,Female,3rd year,Living with Family,4-5 hours ,2 hours,4,5,4,5,4,4-5 Hours,"Workload, exams and files",Not sure but maybe around 4-5 kms a day,1-2 days,5 hours,1,4 litres ,Skip 1 meal daily,"Fresh Fruits / Vegetables, Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/14/2026 19:49:49,Yes,Male,2nd year,Living with Family,5,7,4,4,4,3,2,3-4,Exam pressure ,50-60,1-2 days,4,3,3,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine",1
8/14/2026 19:54:28,Yes,Female,4th year,Hostel,6,8,4,4,3,3,4,4,Placement ,2k,5+ days,4,3,1,Irregular/Random eating times,Home-cooked / Mess-cooked balanced meals,4
8/14/2026 20:08:22,Yes,Female,1st year,Hostel,1,30 mins,3,3,3,1,2,1 hour,Habits,30 min,1-2 days,45 mins ,3,2 to 3,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
